725288	Zlatinitsa	Zlatinitsa	Daut Beglii,Daut Begliy,Slatiniza,Zlatinica,Zlatinitsa,Zlatitsa,Златиница	42.15	26.7	P	PPL	BG	BG	65	JAM03			0		163	Europe/Sofia	2011-05-08
725289	Zlatina	Zlatina	Endzhe K'oy,Endzhe K’oy,Slatina,Zlatina,Златина	43.23333	27.41667	P	PPL	BG	BG	61	VAR24	VAR24-08		0		44	Europe/Sofia	2011-05-08
725290	Zlatevtsi	Zlatevtsi	Zlatevci,Zlatevtsi,Zlatitsa,Златевци	42.91667	25.53333	P	PPLX	BG	BG	41				0		504	Europe/Sofia	2011-05-08
725291	Zlatevtsi	Zlatevtsi	Slatewzi,Zlat'evtsu,Zlatevci,Zlatevtsi,Zlat’evtsŭ,Златевци	42.91667	25.25	P	PPL	BG	BG	41	GAB05			0		507	Europe/Sofia	2011-05-08
725292	Zlaten Rog	Zlaten Rog	Zlaten Rog,Zlaten rog,Златен рог	44.03333	22.95	P	PPL	BG		63				0		42	Europe/Sofia	2011-05-08
725293	Obshtina Zlataritsa	Obshtina Zlataritsa	Gradska Obshtina Zlataritsa,Obshhina Zlatarica,Obshtina Zlataritsa,Zlataritsa,Община Златарица	43.06667	25.98333	A	ADM2	BG	BG	62	VTR14			0		251	Europe/Sofia	2011-05-08
725294	Zlataritsa	Zlataritsa	Zlatarica,Zlataritsa,Златарица	41.86667	23.58333	H	STM	BG		38				0		850	Europe/Sofia	2011-05-08
725295	Zlataritsa	Zlataritsa	Slatariza,Zlatarica,Zlataritza,Златарица	43.05	25.9	P	PPL	BG		62	VTR14			2468		229	Europe/Sofia	2007-04-05
725296	Zlataritsa	Zlataritsa	Garvan,Garvan Kolibi,Garwan-Kolibi,Zlatarica,Zlataritsa,Златарица	41.9	23.71667	P	PPL	BG		38	BLG02			0		1347	Europe/Sofia	2011-05-08
725297	Zlatarishka Reka	Zlatarishka Reka	Ryeka Elenska,Ryeka Zlatar,Slatarischka,Zlatarishka,Zlatarishka Reka,Zlatarishka reka,Златаришка река	43.06667	25.88333	H	STM	BG	BG	62				0		85	Europe/Sofia	2011-05-08
725298	Zlatari	Zlatari	Slatarite,Zlatari,Zlatarite,Zlotar,Златари	42.9	25.33333	P	PPLX	BG		41				0		451	Europe/Sofia	2011-05-08
725299	Zlatari	Zlatari	Koemdzhi Gidik,Polkov-Zlatarevo,Polkovnik Zlatarevo,Polkownik Slatarewo,Zlatari,Златари	42.38333	26.2	P	PPL	BG	BG	65	JAM25			0		189	Europe/Sofia	2011-05-08
725300	Zlatar	Zlatar	Slatar,Zlatar,Златар	43.1	26.96667	P	PPL	BG	BG	54	SHU23	SHU23-02		0		91	Europe/Sofia	2011-05-08
725301	Zla Reka	Zla Reka	Sla Reka,Zla Reka,Зла Река	42.83333	24.86667	P	PPLX	BG	BG	46				0		639	Europe/Sofia	2011-05-08
725302	Zingievtsi	Zingievtsi	Singiewzi,Zingeevtsu,Zingeevtsŭ,Zingievci,Zingievtsi,Зингиевци	42.93333	25.75	P	PPL	BG	BG	62				0		384	Europe/Sofia	2011-05-08
725303	Zinepler	Zinepler	Zinepler,Зинеплер	41.68333	25.23333	P	PPL	BG		44				0		346	Europe/Sofia	2011-05-08
725304	Zimzelen	Zimzelen	Kurlar,Kŭrlar,Simselen,Zimzelen,Зимзелен	41.66667	25.4	P	PPL	BG	BG	44	KRZ16	KRZ16-27		0		450	Europe/Sofia	2011-05-08
